ID,geneName,ORF,pfam,organism,fullName,Entrez,EC,uniprot,KO,GO
A0A178UHX4,AN1_LOCUS23694,AXX17_At5g31230,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UHX4,,
Q3E8P4,F7N22.1,At5g35120,,Arabidopsis thaliana,MADS-box family protein,,,Q3E8P4,,
Q9FYQ8,EMP6,At5g35160,,Arabidopsis thaliana,Transmembrane 9 superfamily member 11,,,Q9FYQ8; Q8L424,,GO:0005768; GO:0010008; GO:0005794; GO:0005797; GO:0000139; GO:0016021; GO:0016020; GO:0009536; GO:0005802; GO:0072657
Q8VYL1,At5g35170,At5g35170,,Arabidopsis thaliana,"Adenylate kinase 5, chloroplastic",,2.7.4.3,Q8VYL1; Q9FYQ6; Q9FYQ7,K00939,GO:0009507; GO:0009941; GO:0009534; GO:0009535; GO:0005737; GO:0009536; GO:0004017; GO:0005524; GO:0004127; GO:0004550; GO:0006165; GO:0009142; GO:0006163
B3H5W6,At5g35180,At5g35180,START(248|407),Arabidopsis thaliana,AT5G35180 protein,,,B3H5W6,,GO:0008289
F4JYC5,EXT13,At5g35190,Extensin_2(77|126),Arabidopsis thaliana,Proline-rich extensin-like family protein,,,F4JYC5,,GO:0005199; GO:0009664
Q9LHS0,K3D20.4,At5g35200,ENTH(28|166),Arabidopsis thaliana,Putative clathrin assembly protein At5g35200,,,Q9LHS0,,GO:0005905; GO:0030136; GO:0005794; GO:0005886; GO:0005545; GO:0032050; GO:0005546; GO:0000149; GO:0048268; GO:0072583; GO:0006897; GO:0006900
F4JYC8,PTM,At5g35210,DDT(192|252),Arabidopsis thaliana,DDT domain-containing protein PTM,,,F4JYC8; F4JYC9; Q56XE1; Q9LHR7,,GO:0009941; GO:0009707; GO:0016021; GO:0005634; GO:0046872; GO:0035064; GO:0010019; GO:0045893
Q949Y5,EGY1,At5g35220,,Arabidopsis thaliana,"Probable zinc metalloprotease EGY1, chloroplastic",,3.4.24.-,Q949Y5; Q9LHR6,,GO:0009507; GO:0031969; GO:0016021; GO:0004222; GO:0009658; GO:0009630; GO:0007275; GO:0009959; GO:0048564; GO:0010207; GO:0060359; GO:0043157; GO:0009723; GO:0009416; GO:0010027
O65233,T26D22.2,At5g35320,,Arabidopsis thaliana,DBH-like monooxygenase,,,O65233,,GO:0004497
Q8LA53,MBD2,At5g35330,MBD(118|192),Arabidopsis thaliana,Methyl-CpG-binding domain-containing protein 2,,,Q8LA53; O65234; Q0WRD3; Q84TJ8; Q9FZP7,,GO:0042025; GO:0005634; GO:0003677; GO:0019899; GO:0008270; GO:0080111
O04983,CAC2,At5g35360,ATP-grasp(192|389),Arabidopsis thaliana,"Biotin carboxylase, chloroplastic",,6.3.4.14; 6.4.1.2,O04983; P93650; Q9C5F8,K01961,GO:0009507; GO:0003989; GO:0005524; GO:0004075; GO:0046872; GO:0006633; GO:2001295
O65238,At5g35370,At5g35370,Bulb-type lectin(35|156),Arabidopsis thaliana,G-type lectin S-receptor-like serine/threonine-protein kinase At5g35370,,2.7.11.1,O65238; Q0WL86; Q0WVA9; Q9FZP3,,GO:0016021; GO:0005886; GO:0005524; GO:0005516; GO:0030246; GO:0004674
F4JZT9,At5g35380,At5g35380,Protein kinase(414|677),Arabidopsis thaliana,Kinase with adenine nucleotide alpha hydrolases-like domain-containing protein,,,F4JZT9,,GO:0005524; GO:0016787; GO:0004672
C0LGU0,RLK,At5g35390,Protein kinase(357|639),Arabidopsis thaliana,Pollen receptor-like kinase 1,,2.7.11.1,C0LGU0; O65240,,GO:0045177; GO:0016324; GO:0016021; GO:0005524; GO:0004674
Q8GUL5,At5g35400,At5g35400,PseudoU_synth_1(313|409),Arabidopsis thaliana,tRNA pseudouridine synthase,,5.4.99.12,Q8GUL5,,GO:0003723; GO:0106029; GO:0001522; GO:0008033
Q9LDI3,SOS2,At5g35410,Protein kinase(11|264),Arabidopsis thaliana,CBL-interacting serine/threonine-protein kinase 24,,2.7.11.1,Q9LDI3; Q9LKR2,,GO:0005737; GO:0005634; GO:0009705; GO:0005524; GO:0004672; GO:0004674; GO:0035556; GO:0006468; GO:0009651
Q9FJB6,At5g35430,At5g35430,,Arabidopsis thaliana,Gb|AAD55417.1,,,Q9FJB6,,GO:0030014
Q9FJB5,RPP8L3,At5g35450,NB-ARC(144|453),Arabidopsis thaliana,Disease resistance RPP8-like protein 3,,,Q9FJB5; O64978; O64979; Q0WUX1,,GO:0005886; GO:0043531; GO:0005524; GO:0006952
Q9FJB4,GPC1,At5g35460,,Arabidopsis thaliana,Glycerophosphocholine acyltransferase 1,,2.3.1.-,Q9FJB4,,GO:0016021; GO:0009536; GO:0016746; GO:0006656
Q9FJB1,MOK9.7,At5g35480,,Arabidopsis thaliana,At5g35480,,,Q9FJB1,,
F4JZV1,MRU1,At5g35490,,Arabidopsis thaliana,Mto 1 responding up 1,,,F4JZV1,,
Q9FJA8,MOK9.11,At5g35510,,Arabidopsis thaliana,TIR-NBS-LRR class disease resistance protein,,,Q9FJA8,,
Q2V0Z5,MIS12,At5g35520,,Arabidopsis thaliana,Protein MIS12 homolog,,,Q2V0Z5; Q9FJA7,,GO:0000775; GO:0000818; GO:0005634; GO:0051301; GO:0051382; GO:0051321; GO:0000070; GO:0034501
P0CW97,PCR3,At5g35525,,Arabidopsis thaliana,Protein PLANT CADMIUM RESISTANCE 3,,,P0CW97; Q3E8N9,,GO:0016021
Q9FJA6,RPS3C,At5g35530,KH type-2(21|92),Arabidopsis thaliana,40S ribosomal protein S3-3,,,Q9FJA6,K02985,GO:0005829; GO:0022626; GO:0022627; GO:0005730; GO:0005634; GO:0009506; GO:0009536; GO:0003723; GO:0003735; GO:0006412
Q9FJA2,TT2,At5g35550,HTH myb-type 1(11|63),Arabidopsis thaliana,Transcription factor TT2,,,Q9FJA2; A0MFJ2; Q53YP9,K09422,GO:0005634; GO:0005524; GO:0003700; GO:0000976; GO:0030154; GO:0006633; GO:0009813; GO:0010023; GO:0006970
AT5G05235,AT5G05235,AT5G05235,,n/a,unknown,,,,,
A0A178UKD1,AXX17_At5g32720,AXX17_At5g32720,UDENN(143|765),Arabidopsis thaliana,UDENN domain-containing protein,,,A0A178UKD1,,
Q94BY4,OFUT35,At5g35570,,Arabidopsis thaliana,O-fucosyltransferase 35,,2.4.1.-,Q94BY4; Q9FH12,,GO:0009507; GO:0005737; GO:0005794; GO:0016021; GO:0016757; GO:0006004
F4JZW1,PBL13,At5g35580,Protein kinase(76|356),Arabidopsis thaliana,Serine/threonine-protein kinase PBL13,,2.7.11.1,F4JZW1; Q56YK6; Q9FH10,,GO:0005886; GO:0005524; GO:0004674; GO:0006952; GO:0050777; GO:0006468
O81146,PAA1,At5g35590,,Arabidopsis thaliana,Proteasome subunit alpha type-6-A,,,O81146; O23713; Q0WR56; Q8RWN8,K02730,GO:0005737; GO:0005829; GO:0005634; GO:0009536; GO:0000502; GO:0005839; GO:0019773; GO:0005774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161; GO:0010043
Q9FH09,HDA7,At5g35600,,Arabidopsis thaliana,Histone deacetylase 7,,3.5.1.98,Q9FH09; A0MFJ3,K06067,GO:0005634; GO:0032041; GO:0009793; GO:0009553; GO:0009845
F4JZW4,At5g35603,At5g35603,,Arabidopsis thaliana,Uncharacterized protein,,,F4JZW4,,
AT5G35605,AT5G35605,AT5G35605,,n/a,unknown,,,,,
O04663,LSP1,At5g35620,,Arabidopsis thaliana,Eukaryotic translation initiation factor isoform 4E,,,O04663; Q3E8N6; Q546X5; Q9SAN8,,GO:0005737; GO:0005829; GO:0016281; GO:0005845; GO:0005634; GO:0009536; GO:0000340; GO:0003743; GO:0050687; GO:0009615
Q43127,GLN2,At5g35630,,Arabidopsis thaliana,"Glutamine synthetase, chloroplastic/mitochondrial",,6.3.1.2,Q43127,K01915,GO:0048046; GO:0009507; GO:0009941; GO:0009570; GO:0009535; GO:0005737; GO:0022626; GO:0005739; GO:0009536; GO:0009579; GO:0005524; GO:0004356; GO:0007568; GO:0019676; GO:0006542; GO:0046686
Q9FJS6,At5g35640,At5g35640,NYN(34|108),Arabidopsis thaliana,NYN domain-containing protein,,,Q9FJS6,,GO:0005777; GO:0010468
Q9FJS3,MJE4.15,At5g35660,,Arabidopsis thaliana,Glycine-rich protein family,,,Q9FJS3,,
Q8L8M9,iqd33,At5g35670,,Arabidopsis thaliana,IQ-domain 33,,,Q8L8M9,,
F4K1D3,MXH1.2,At5g35680,S1-like(22|96),Arabidopsis thaliana,Eukaryotic translation initiation factor 4C,,,F4K1D3,,GO:0009536; GO:0003743
F4K1D6,At5g35688,At5g35688,,Arabidopsis thaliana,Zinc metalloproteinase-like protein,,,F4K1D6,,
A6XH01,UQI4,A6XH01,PUB(135|204),Arabidopsis thaliana,Putative ubiquitin-interacting factor 4,,,A6XH01,,
Q9FKI0,FIM5,At5g35700,EF-hand(7|74),Arabidopsis thaliana,Fimbrin-5,,,Q9FKI0; Q56Z07,,GO:0005884; GO:0032432; GO:0005737; GO:0005829; GO:0051015; GO:0030036; GO:0051017; GO:0051639; GO:0009846; GO:0009860
Q8VYS9,MXH1.10,At5g35730,EXS(257|457),Arabidopsis thaliana,EXS (ERD1/XPR1/SYG1) family protein,,,Q8VYS9,,GO:0005737; GO:0005794; GO:0016021
A0A1P8B9S8,At5g35732,At5g35732,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8B9S8,,
Q9FKH6,F28J9_6,At5g35735,DOMON(49|164),Arabidopsis thaliana,Cytochrome b561 and DOMON domain-containing protein At5g35735,,,Q9FKH6; Q8LBJ4,,GO:0016021; GO:0005886; GO:0046872; GO:0071456; GO:0055114
AT5G05275,AT5G05275,AT5G05275,,n/a,unknown,,,,,
AT5G05295,AT5G05295,AT5G05295,,n/a,unknown,,,,,
A0A178U7T5,At5g35740,At5g35740,X8(29|115),Arabidopsis thaliana,X8 domain-containing protein,,,A0A178U7T5,,
Q9C5U2,AHK2,At5g35750,CHASE(302|526),Arabidopsis thaliana,Histidine kinase 2,,2.7.13.3,Q9C5U2; Q680Y4; Q8GUG0; Q9FKH3,K14489,GO:0005789; GO:0016021; GO:0005886; GO:0009884; GO:0042802; GO:0019900; GO:0000155; GO:0004673; GO:0043424; GO:0071215; GO:0070417; GO:0009736; GO:0007275; GO:0034757; GO:0010087; GO:0006470; GO:0010271; GO:0009909; GO:0048509; GO:0010029; GO:0048831; GO:0009737; GO:0006970; GO:0009651; GO:0009636; GO:0009414; GO:0080117
F4K1E8,At5g35753,At5g35753,DUF3444(196|401),Arabidopsis thaliana,DnaJ heat shock amino-terminal domain protein (DUF3444),,,F4K1E8,,
F4K1E9,MXH1.19,At5g35760,,Arabidopsis thaliana,Beta-galactosidase related protein,,,F4K1E9,,
Q9FKH1,SAP,At5g35770,,Arabidopsis thaliana,Transcriptional regulator STERILE APETALA,,,Q9FKH1; Q9ZRQ7,,GO:0005634; GO:0003700; GO:0030154; GO:0009908; GO:0009554; GO:0046622; GO:0030163
Q43727,APG1,At5g35790,,Arabidopsis thaliana,"Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic",,1.1.1.49,Q43727; O65577; Q9FFM5,K00036,GO:0009507; GO:0009570; GO:0005777; GO:0004345; GO:0050661; GO:0006006; GO:0009051
P14714,PHYC,At5g35840,GAF(213|393),Arabidopsis thaliana,Phytochrome C,,,P14714,,GO:0005634; GO:0009881; GO:0042803; GO:0009584; GO:0018298; GO:0017006; GO:0009585; GO:0006355
Q9FFL6,MIK22.18,At5g35870,,Arabidopsis thaliana,Gb|AAD25831.1,,,Q9FFL6,,GO:0016021
A0A178U9N6,AN1_LOCUS23771,AXX17_At5g33210,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178U9N6,,GO:0016021
A9LLI7,RRP6L2,At5g35910,3'-5' exonuclease(263|428),Arabidopsis thaliana,Protein RRP6-like 2,,,A9LLI7; Q9FFL2,K12591,GO:0005737; GO:0005829; GO:0000176; GO:0005730; GO:0005634; GO:0000175; GO:0000166; GO:0003727; GO:0000467; GO:0080188; GO:0071044; GO:0071040; GO:0071039; GO:0071035; GO:0071036; GO:0071037; GO:0071038; GO:0071048; GO:0043633; GO:0071051; GO:1902466; GO:0006364
AT5G35917,AT5G35917,AT5G35917,,n/a,unknown,,,,,
F4K1G1,At5g35926,At5g35926,FBD(319|388),Arabidopsis thaliana,Protein with RNI-like/FBD-like domain,,,F4K1G1,,
A0A1P8BG62,At5g35927,At5g35927,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8BG62,,
F4K1G2,F14A1.10,At5g35930,Carrier(489|581),Arabidopsis thaliana,Putative acyl-activating enzyme 19,,,F4K1G2; Q8L5Z8; Q9LTK8,K00142,GO:0005737; GO:0000036; GO:0003824; GO:0031177
Q9FGC5,JAL41,At5g35940,Jacalin-type lectin 1(2|143),Arabidopsis thaliana,Jacalin-related lectin 41,,,Q9FGC5,,GO:0009506; GO:0030246
Q9FGC4,JAL42,At5g35950,Jacalin-type lectin 1(2|143),Arabidopsis thaliana,Jacalin-related lectin 42,,,Q9FGC4,,GO:0030246
Q9FGC3,MEE13.6,At5g35960,Protein kinase(134|417),Arabidopsis thaliana,Protein kinase family protein,,,Q9FGC3,,GO:0005524; GO:0004674
B9DFE7,At5g35970,At5g35970,AAA_11(487|608),Arabidopsis thaliana,AT5G35970 protein,,,B9DFE7,,
Q8RWH3,YAK1,At5g35980,Protein kinase(122|464),Arabidopsis thaliana,Dual specificity protein kinase YAK1 homolog,,2.7.12.1,Q8RWH3; Q56YT6; Q9FGC1,K18670,GO:0005737; GO:0005829; GO:0009506; GO:0005524; GO:0004674; GO:0004712; GO:0004713; GO:0018105; GO:0018107; GO:0009789; GO:0046777; GO:0006468; GO:0009737
Q56W59,MEE13.11,At5g35995,F-box(4|51),Arabidopsis thaliana,F-box/LRR-repeat protein At5g35995,,,Q56W59; Q9FGB9,,
Q9FGB8,MEE13.12,At5g36000,,Arabidopsis thaliana,Probable F-box protein At5g36000,,,Q9FGB8,,GO:0005634; GO:0061458
AT5G36002,AT5G36002,AT5G36002,,n/a,unknown,,,,,
F4K2W6,At5g36001,At5g36001,RING-type(264|306),Arabidopsis thaliana,RING/U-box superfamily protein,,,F4K2W6,,GO:0016021; GO:0030247
A0A178U9L0,At5g36100,At5g36100,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178U9L0,,GO:0016021
Q9LVY7,MAB16.5,At5g36110,,Arabidopsis thaliana,Cytochrome P450 716A1,,1.14.-.-,Q9LVY7,K20667,GO:0016021; GO:0020037; GO:0005506; GO:0004497; GO:0016491; GO:0016709; GO:0055114; GO:0016125; GO:0006722
Q8RWM7,CCB3,At5g36120,,Arabidopsis thaliana,"Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB3, chloroplastic",,,Q8RWM7; Q9LVY6,,GO:0009507; GO:0009535; GO:0016021; GO:0010190
A0A140JWM8,CYP716A2,At5g36130/At5g36140,,Arabidopsis thaliana,Cytochrome P450 716A2,,1.14.-.-,A0A140JWM8; Q9LVY3; Q9LVY4,K20667,GO:0016021; GO:0020037; GO:0005506; GO:0004497; GO:0016491; GO:0016709; GO:0055114; GO:0016125; GO:0006722
A0A140JWM8,CYP716A2,At5g36130/At5g36140,,Arabidopsis thaliana,Cytochrome P450 716A2,,1.14.-.-,A0A140JWM8; Q9LVY3; Q9LVY4,K20667,GO:0016021; GO:0020037; GO:0005506; GO:0004497; GO:0016491; GO:0016709; GO:0055114; GO:0016125; GO:0006722
Q9LVY2,PEN3,At5g36150,,Arabidopsis thaliana,Tirucalladienol synthase,,5.4.99.56,Q9LVY2,K16205,GO:0005811; GO:0009506; GO:0042300; GO:0000250; GO:0042299; GO:0016104
Q9LVY1,TAT,At5g36160,,Arabidopsis thaliana,Tyrosine aminotransferase,,2.6.1.5,Q9LVY1; Q8W462,K00815,GO:0005829; GO:0009536; GO:0004838; GO:0030170; GO:0009058; GO:0006520; GO:0006559; GO:0006572
Q9LVY0,RF2,At5g36170,,Arabidopsis thaliana,"Peptide chain release factor PrfB1, chloroplastic",,,Q9LVY0; Q9C5B2,,GO:0009507; GO:0009570; GO:0016149; GO:0009657; GO:0006396; GO:0006415
Q8RWJ6,SCPL1,At5g36180,,Arabidopsis thaliana,Serine carboxypeptidase-like 1,,3.4.16.-,Q8RWJ6; Q9LVX9,K16296,GO:0005576; GO:0004185; GO:0016747; GO:0019748
Q9LVX8,MAB16.14,At5g36190,,Arabidopsis thaliana,At5g36190,,,Q9LVX8,,
A0A178UTX9,At5g36210,At5g36210,Peptidase_S9(456|658),Arabidopsis thaliana,Peptidase_S9 domain-containing protein,,,A0A178UTX9,,GO:0008236
Q9FG65,CYP81D1,At5g36220,,Arabidopsis thaliana,Cytochrome P450 81D1,,1.14.-.-,Q9FG65; O65789,,GO:0016021; GO:0016020; GO:0020037; GO:0005506; GO:0016709
Q9FG64,At5g36228,At5g36228,DUF4283(33|170),Arabidopsis thaliana,Nucleic acid binding / zinc ion binding protein,,,Q9FG64,,
A0A1P8BB34,T30G6.9,At5g36230,W2(259|424),Arabidopsis thaliana,ARM repeat superfamily protein,,,A0A1P8BB34,,GO:0005737
A0A178UHT7,At5g36240,At5g36240,CCHC-type(63|76),Arabidopsis thaliana,Uncharacterized protein,,,A0A178UHT7,,GO:0003676; GO:0008270
Q9FG61,T30G6.11,At5g36250,PPM-type phosphatase(67|384),Arabidopsis thaliana,Probable protein phosphatase 2C 74,,3.1.3.16,Q9FG61; Q8W4Q9,,GO:0005829; GO:0005634; GO:0005886; GO:0046872; GO:0004721; GO:0004722; GO:0006470
Q4V3D2,A36,At5g36260,Peptidase A1(78|429),Arabidopsis thaliana,Aspartic proteinase 36,,3.4.23.-,Q4V3D2; Q9FG60,,GO:0031225; GO:0005737; GO:0005829; GO:0005886; GO:0090406; GO:0004190; GO:0009555; GO:0009846; GO:0009860; GO:0010183; GO:0030163; GO:0006508
A0A178UFI5,At5g36280,At5g36280,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UFI5,,
Q93Y38,T30G6.16,At5g36290,,Arabidopsis thaliana,GDT1-like protein 3,,,Q93Y38; B9DF76; Q9FG57,K23541,GO:0005794; GO:0016021; GO:0015085; GO:0005384; GO:0046873; GO:0070588; GO:0032468; GO:0032472; GO:0071421
Q9FFZ2,T30G6.18,At5g36300,,Arabidopsis thaliana,Putative pentatricopeptide repeat-containing protein At5g36300,,,Q9FFZ2; F4K2Z3,,
P0DKC4,PGLP1B,At5g36790,,Arabidopsis thaliana,"Phosphoglycolate phosphatase 1B, chloroplastic",,3.1.3.18,P0DKC4; Q8L3U4; Q9LTH1,K19269,GO:0009507; GO:0008967; GO:0009853
A0A1P8BG30,MPK17.2,At5g36670,PHD-type(650|695),Arabidopsis thaliana,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein,,,A0A1P8BG30; A0A178UIG4,,GO:0003677; GO:0046872; GO:0016746
P0DKC4,PGLP1B,At5g36790,,Arabidopsis thaliana,"Phosphoglycolate phosphatase 1B, chloroplastic",,3.1.3.18,P0DKC4; Q8L3U4; Q9LTH1,K19269,GO:0009507; GO:0008967; GO:0009853
Q9LTG5,GSL9,At5g36870,,Arabidopsis thaliana,Callose synthase 4,,2.4.1.34,Q9LTG5,K11000,GO:0000148; GO:0016021; GO:0005886; GO:0003843; GO:0046527; GO:0006075; GO:0071555; GO:0008360
B9DGD6,ACS,At5g36880,,Arabidopsis thaliana,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal",,6.2.1.1,B9DGD6; O49063; Q9LTG4,K01895,GO:0009507; GO:0009570; GO:0005829; GO:0009514; GO:0003987; GO:0016208; GO:0005524; GO:0006083; GO:0019427; GO:0006631
Q9FIW4,BGLU42,At5g36890,,Arabidopsis thaliana,Beta-glucosidase 42,,3.2.1.21,Q9FIW4; Q2V330,K01188,GO:0005829; GO:0008422; GO:0102483; GO:0030245; GO:0009866; GO:0031349; GO:0009617; GO:1990641; GO:0019748
A0A178U9T0,At5g36907,At5g36907,,Arabidopsis thaliana,Transmembrane protein,,,A0A178U9T0; A0A1P8BAI7,,GO:0016021
Q42597,THI2.2,At5g36910,,Arabidopsis thaliana,Thionin-2.2,,,Q42597; Q8LEF0; Q9FIW2,,GO:0005576; GO:0090729; GO:0006952
A0A178UGM1,At5g36920,At5g36920,,Arabidopsis thaliana,Uncharacterized protein,,,A0A178UGM1,,
Q8GWS2,At5g36925,At5g36925,,Arabidopsis thaliana,At5g36923,,,Q8GWS2,,GO:0005737; GO:0005783; GO:0005634; GO:0090404; GO:0098542; GO:0043207
A0A1P8BBG0,MLF18.50,At5g36930,TIR(12|152),Arabidopsis thaliana,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase,,3.2.2.6,A0A1P8BBG0,,GO:0043531; GO:0050135; GO:0061809; GO:0007165
Q8GYB4,CAT3,At5g36940,,Arabidopsis thaliana,"Cationic amino acid transporter 3, mitochondrial",,,Q8GYB4; Q9FIV7,K13863,GO:0005783; GO:0016021; GO:0031966; GO:0005635; GO:0015171; GO:0006865
Q9FIV6,DEGP10,At5g36950,PDZ(318|398),Arabidopsis thaliana,"Protease Do-like 10, mitochondrial",,3.4.21.-,Q9FIV6,,GO:0005759; GO:0004252; GO:0006508
Q9FIV5,MLF18.14,At5g36960,,Arabidopsis thaliana,Uncharacterized protein,,,Q9FIV5,,
F4K5V1,NDR1,At5g36970,LEA_2(119|222),Arabidopsis thaliana,NDR1/HIN1-like 25,,,F4K5V1,,GO:0016021; GO:0009814; GO:0009863
W8PUY8,AT5G37000,W8PUY8,Exostosin(223|503),Arabidopsis thaliana,Glycosyltransferase,,,W8PUY8,,GO:0000139; GO:0016757; GO:0006486
Q9FGV2,K15O15.3,At5g37010,,Arabidopsis thaliana,At5g37010,,,Q9FGV2,,
Q9FGV1,FWF,At5g37020,PB1(705|789),Arabidopsis thaliana,Auxin response factor 8,,,Q9FGV1; A8MQI4; Q5IRX7; Q9ZTR9,,GO:0005634; GO:0003700; GO:0000976; GO:0009734; GO:0009908; GO:0009733
F4K5V9,MJG14.3,At5g37050,,Arabidopsis thaliana,Sorting nexin,,,F4K5V9,,
Q9FHW2,SEF,At5g37055,,Arabidopsis thaliana,SWR1 complex subunit 6,,,Q9FHW2,K11663,GO:0016607; GO:0005634; GO:0000812; GO:0042826; GO:0042802; GO:0046872; GO:0031491; GO:0030154; GO:0042742; GO:0009908; GO:0043486; GO:0048638; GO:0009909; GO:0031063
Q1HDT2,CHX24,At5g37060,,Arabidopsis thaliana,Cation/H(+) antiporter 24,,,Q1HDT2; Q9FHW1,,GO:0012505; GO:0016021; GO:0015299; GO:0015672; GO:0006813; GO:0006885
Q9FHW0,MJG14.7,At5g37070,,Arabidopsis thaliana,At5g37070,,,Q9FHW0,,
Q0WQE1,At5g37130,At5g37130,TPR_REGION(120|255),Arabidopsis thaliana,Uncharacterized protein At5g37130,,,Q0WQE1,,
F4K5W4,MJG14.20,At5g37140,AAA_11(73|428),Arabidopsis thaliana,P-loop containing nucleoside triphosphate hydrolases superfamily protein,,,F4K5W4,,GO:0016787; GO:0003723
F4K5W6,MJG14.23,At5g37160,AAA_11(243|441),Arabidopsis thaliana,P-loop nucleoside triphosphate hydrolase superfamily protein,,,F4K5W6,K10706,GO:0016787
A0A1P8BAQ8,At5g37165,At5g37165,AAA_11(82|156),Arabidopsis thaliana,P-loop nucleoside triphosphate hydrolase superfamily protein,,,A0A1P8BAQ8,,GO:0016787; GO:0003723
F4K5W8,SUS5,At5g37180,,Arabidopsis thaliana,Sucrose synthase 5,,2.4.1.13,F4K5W8; Q9FHU4,,GO:0005618; GO:0005576; GO:0016157; GO:0080165; GO:0005985
Q56ZV9,At5g37190,At5g37190,,Arabidopsis thaliana,COP1-interacting protein 4,,,Q56ZV9,,
F4K5X1,MSK20.1,At5g37210,C1_2(217|263),Arabidopsis thaliana,Cysteine/Histidine-rich C1 domain family protein,,,F4K5X1,,
Q9FHU1,MNJ8.2,At5g37230,RING-type(153|197),Arabidopsis thaliana,Gb|AAD18119.1,,,Q9FHU1,,GO:0061630; GO:0006511
AT5G05395,AT5G05395,AT5G05395,,n/a,unknown,,,,,
A0A1P8BGE9,MNJ8.30,At5g37240,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8BGE9,,
AT5G05415,AT5G05415,AT5G05415,,n/a,unknown,,,,,
AT5G05425,AT5G05425,AT5G05425,,n/a,unknown,,,,,
AT5G05445,AT5G05445,AT5G05445,,n/a,unknown,,,,,
A0A1P8BH02,At5g37247,At5g37247,,Arabidopsis thaliana,Uncharacterized protein,,,A0A1P8BH02,,
Q9FHU0,MNJ8.3,At5g37250,RING-type(153|197),Arabidopsis thaliana,RING/U-box superfamily protein,,,Q9FHU0,,
F4K5X6,RVE2,At5g37260,HTH myb-type(31|85),Arabidopsis thaliana,Protein REVEILLE 2,,,F4K5X6; Q6NML6; Q6R0G3,,GO:0005634; GO:0003677; GO:0003700; GO:0007623; GO:0009909; GO:0006355; GO:0009845
Q9FHT8,MNJ8.6,At5g37270,RING-type(153|197),Arabidopsis thaliana,At5g37270,,,Q9FHT8,,
AT5G05465,AT5G05465,AT5G05465,,n/a,unknown,,,,,
A0A1P8BDQ7,MNJ8.8,At5g37290,,Arabidopsis thaliana,ARM repeat superfamily protein,,,A0A1P8BDQ7,,
Q93ZR6,WSD1,At5g37300,,Arabidopsis thaliana,O-acyltransferase WSD1,,2.3.1.20; 2.3.1.75,Q93ZR6; Q9FHT5,K15406,GO:0005783; GO:0005789; GO:0016021; GO:0005886; GO:0102966; GO:0004144; GO:0047196; GO:0019432; GO:0010025
Q9FHT4,TMN4,At5g37310,,Arabidopsis thaliana,Transmembrane 9 superfamily member 4,,,Q9FHT4,,GO:0005768; GO:0010008; GO:0005794; GO:0000139; GO:0000138; GO:0016021; GO:0016020; GO:0009505; GO:0005802; GO:0072657
Q9FHT3,MNJ8.11,At5g37320,,Arabidopsis thaliana,Emb|CAB69840.1,,,Q9FHT3,,
F4K746,MNJ8.130,At5g37340,Zpr1(33|193),Arabidopsis thaliana,ZPR1 zinc-finger domain protein,,,F4K746,,GO:0005737; GO:0005634; GO:0008270
Q9FHT0,MNJ8.10,At5g37350,,Arabidopsis thaliana,Serine/threonine-protein kinase RIO1,,2.7.11.1,Q9FHT0,,GO:0005737; GO:0005524; GO:0016787; GO:0004674; GO:0042254
Q9FHS9,At5g37360,At5g37360,,Arabidopsis thaliana,Uncharacterized protein,,,Q9FHS9,,GO:0016021
Q8RWB1,SRL1,At5g37370,,Arabidopsis thaliana,Pre-mRNA splicing factor SR-like 1,,,Q8RWB1; Q9FHS8,K12850,GO:0071011; GO:0006397; GO:0010226; GO:0009651; GO:0008380
Q9FHS7,MNJ8.20,At5g37380,J(66|130),Arabidopsis thaliana,AT5g37380/MNJ8_170,,,Q9FHS7,,
Q0WM31,At5g37400,At5g37400,DUF577(1|117),Arabidopsis thaliana,Uncharacterized protein At5g37400,,,Q0WM31,,
Q9FG47,T25O11.6,At5g37410,DUF577(100|273),Arabidopsis thaliana,Similarity to unknown protein,,,Q9FG47,,
Q9FG46,AGL105,At5g37420,DUF577(99|271),Arabidopsis thaliana,Similarity to unknown protein,,,Q9FG46,,GO:0003700
Q9FG45,T25O11.8,At5g37430,DUF577(99|274),Arabidopsis thaliana,Similarity to unknown protein,,,Q9FG45,,
Q9FG44,T25O11.9,At5g37440,J(74|138),Arabidopsis thaliana,At5g37440,,,Q9FG44,,
C0LGU1,At5g37450,At5g37450,Protein kinase(631|906),Arabidopsis thaliana,Probable LRR receptor-like serine/threonine-protein kinase At5g37450,,2.7.11.1,C0LGU1; F4K767; Q9FG43,,GO:0016021; GO:0016020; GO:0005524; GO:0004674
